objid,ra,dec,run,rerun,camcol,field
1237676302422379175,96.3566995596925,6.65402113806386,7178,301,1,206
1237676302411825797,75.0128086004395,-4.75201437217774,7178,301,1,45
1237676302414185026,79.7566867534924,-2.2167470971084,7178,301,1,81
1237676302422705529,96.9006873646995,7.11334927998045,7178,301,1,211
1237676302412743368,76.8909216251489,-3.72465409988527,7178,301,1,59
1237676302413071325,77.6240121181294,-3.32957783431754,7178,301,1,64
1237676302410514451,72.371749551148,-6.19092858276429,7178,301,1,25
1237676302419820663,91.073477154953,3.99438776038561,7178,301,1,167
1237676302421329115,94.2143543965946,5.65445709737763,7178,301,1,190
1237676302421983385,95.4827426052283,6.2031695528007,7178,301,1,200
